name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Bavato (G.)", A010,,,,,,,,,,,,,,,,,,,,
"Bazar -Bhang (Kash.)", H015, H016,,,,,,,,,,,,,,,,,,,
"Beal (U.)", E067,,,,,,,,,,,,,,,,,,,,
"Bean scarlet, tender (Common)", D003,,,,,,,,,,,,,,,,,,,,
"Beans (Mal.,O.,U.)", D049, D050,,,,,,,,,,,,,,,,,,,
"Bedana (B.)", E055,,,,,,,,,,,,,,,,,,,,
"Beef (Common)", O025,O026,O027,O028,O029,O030,O031,O032,O033,O034,O035,,,,,,,,,,
"Beera kaya (Tel.)", D068, D069,,,,,,,,,,,,,,,,,,,
"Beet (A.,B.,G.,Kan.)", F001,,,,,,,,,,,,,,,,,,,,
"Beet ni bhaji (G.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet patta (U.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root (Common,Mal., Mar., Tam.,Tel.)", F001,,,,,,,,,,,,,,,,,,,,
"Beet root (Tel.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root cheera (Mal.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root ka sag (Mar.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root keerai (Tam.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root soppu (Kan.)", C009,,,,,,,,,,,,,,,,,,,,
"Beet root, leaves (Common)", C009,,,,,,,,,,,,,,,,,,,,
"Beetar sak (A.)", C009,,,,,,,,,,,,,,,,,,,,
"Begun (B.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Bel (A.)", E067,,,,,,,,,,,,,,,,,,,,
"Belandri (M.)", D056,,,,,,,,,,,,,,,,,,,,
"Bele (Kan.)", E067,,,,,,,,,,,,,,,,,,,,
"Bele Dindu (Kan.)", D064,,,,,,,,,,,,,,,,,,,,
"Beli phular guti (A.)", H020,,,,,,,,,,,,,,,,,,,,
"Bella (Kan.)", I001 ,,,,,,,,,,,,,,,,,,,,
"Bellam (Tel.)", I001 ,,,,,,,,,,,,,,,,,,,,
"Bellulli (Kan.)", G011, G012, G013,,,,,,,,,,,,,,,,,,
"Bendakaya (Tel.)", D056,,,,,,,,,,,,,,,,,,,,
"Bende (Kan.)", D056,,,,,,,,,,,,,,,,,,,,
"Bengal gram, dal (Common)", B001,,,,,,,,,,,,,,,,,,,,
"Bengal gram, whole (Common)", B002,,,,,,,,,,,,,,,,,,,,
"Bengali Palungo ko Saag (N.)", C009,,,,,,,,,,,,,,,,,,,,
"Bengena (A.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Benincasa hispida(Sci.)", D001,,,,,,,,,,,,,,,,,,,,
"Bennephala
"Bennehannu (Kan.)", E007,,,,,,,,,,,,,,,,,,,,
"Ber (G.,H.,U.)", E068,,,,,,,,,,,,,,,,,,,,
"Beri (P.)", E068,,,,,,,,,,,,,,,,,,,,
"Berikai (Kan.)", E051,,,,,,,,,,,,,,,,,,,,
"Berikaya (Tel.)", E051,,,,,,,,,,,,,,,,,,,,
"Berikkai (Tam.)", E051,,,,,,,,,,,,,,,,,,,,
"Berycidae beryx (Sci.)", P077,,,,,,,,,,,,,,,,,,,,
"Besar (N.)", G033,,,,,,,,,,,,,,,,,,,,
"Beta vulgaris (Sci.)", C009, F001,,,,,,,,,,,,,,,,,,,
"Betel leaves, big, Kolkatta (Common)", C010,,,,,,,,,,,,,,,,,,,,
